Position,President,Party,Nominee,Announced,Received,Withdrawn,Confirmed,Rejected,Vote Type,Votes For,Votes Against,Notes
Secretary of State,George W. Bush,Republican,Colin Powell,2000-12-16,2001-01-20,,2001-01-20,,Voice Vote,100,0,"Unanimous, per Wikipedia; 100 members https://www.nytimes.com/2001/01/20/politics/senate-confirms-7-bush-cabinet-members.html"
Secretary of Agriculture,George W. Bush,Republican,Ann Veneman,2000-12-20,2001-01-20,,2001-01-20,,Voice Vote,100,0,"Unanimous, per Wikipedia; 100 members https://www.nytimes.com/2001/01/20/politics/senate-confirms-7-bush-cabinet-members.html"
Secretary of Commerce,George W. Bush,Republican,Donald Evans,2000-12-20,2001-01-20,,2001-01-20,,Voice Vote,,,
Secretary of Housing and Urban Development,George W. Bush,Republican,Melquiades Martinez,2000-12-20,2001-01-20,,2001-01-23,,Roll Call Vote,100,0,
Secretary of the Treasury,George W. Bush,Republican,Paul O’Neill,2000-12-20,2001-01-20,,2001-01-20,,Voice Vote,100,0,"Same vote as Collin Powell per the nytimes article, so unanimous"
Attorney General,George W. Bush,Republican,John Ashcroft,2000-12-22,2001-01-29,,2001-02-01,,Roll Call Vote,58,42,
Secretary of Defense,George W. Bush,Republican,Donald Rumsfeld,2000-12-28,2001-01-20,,2001-01-20,,Voice Vote,,,"""Overwhelming Majority"" per wikipedia"
Secretary of Education,George W. Bush,Republican,Roderick Paige,2000-12-29,2001-01-20,,2001-01-20,,Voice Vote,,,
Secretary of Health and Human Services,George W. Bush,Republican,Tommy Thompson,2000-12-29,2001-01-20,,2001-01-24,,Roll Call Vote,100,0,
Secretary of the Interior,George W. Bush,Republican,Gale Norton,2000-12-29,2001-01-20,,2001-01-30,,Roll Call Vote,75,24,
Secretary of Veterans Affairs,George W. Bush,Republican,Anthony Principi,2000-12-29,2001-01-20,,2001-01-23,,Roll Call Vote,100,0,
Secretary of Energy,George W. Bush,Republican,Spencer Abraham,2001-01-02,2001-01-20,,2001-01-20,,Voice Vote,,,
Secretary of Transportation,George W. Bush,Republican,Norman Mineta,2001-01-02,2001-01-24,,2001-01-24,,Roll Call Vote,100,0,
Secretary of Labor,George W. Bush,Republican,Elaine Chao,2001-01-11,2001-01-29,,2001-01-29,,Voice Vote,,,
Secretary of Homeland Security,George W. Bush,Republican,Thomas Ridge,2002-11-25,2003-01-07,,2003-01-22,,Roll Call Vote,94,0,
Secretary of the Treasury,George W. Bush,Republican,John Snow,2002-12-09,2003-01-13,,2003-01-30,,Unanimous Consent,100,0,
Secretary of Housing and Urban Development,George W. Bush,Republican,Alphonso Jackson,2003-12-12,2004-01-28,,2004-03-31,,Voice Vote,,,
Attorney General,George W. Bush,Republican,Alberto Gonzales,2004-11-10,2004-11-16,,2005-01-06,,Roll Call Vote,30,36,Augmented from https://www.senate.gov/legislative/nominations/Bush_cabinet.htm
Secretary of State,George W. Bush,Republican,Condoleezza Rice,2004-11-16,2005-01-04,,2005-01-26,,Roll Call Vote,85,13,
Secretary of Education,George W. Bush,Republican,Margaret Spellings,2004-11-17,2005-01-04,,2005-01-20,,Voice Vote,,,
Secretary of Commerce,George W. Bush,Republican,Carlos Gutierrez,2004-11-29,2005-01-04,,2005-01-24,,Voice Vote,100,0,"Unanimous, per Wikipedia"
Secretary of Agriculture,George W. Bush,Republican,Mike Johanns,2004-12-02,2005-01-04,,2005-01-20,,Voice Vote,,,
Secretary of Veterans Affairs,George W. Bush,Republican,Jim Nicholson,2004-12-09,2005-01-04,,2005-01-26,,Voice Vote,,,
Secretary of Energy,George W. Bush,Republican,Sam Bodman,2004-12-10,2005-01-04,,2005-01-31,,Voice Vote,100,0,Unanimously Confirmed
Secretary of Health and Human Services,George W. Bush,Republican,Michael Leavitt,2004-12-13,2005-01-04,,2005-01-26,,Voice Vote,,,
Secretary of Homeland Security,George W. Bush,Republican,Michael Chertoff,2005-01-11,2005-01-31,,2005-02-15,,Roll Call Vote,98,0,
Secretary of the Interior,George W. Bush,Republican,Dirk Kempthorne,2006-03-16,2006-04-24,,2006-05-26,,Voice Vote,,,
Secretary of the Treasury,George W. Bush,Republican,Henry Paulson,2006-05-30,2006-06-19,,2006-06-28,,Voice Vote,,,
Secretary of Transportation,George W. Bush,Republican,Mary Peters,2006-09-05,2006-09-07,,2006-09-29,,Voice Vote,,,
Secretary of Defense,George W. Bush,Republican,Robert Gates,2006-11-08,2006-12-04,,2006-12-06,,Roll Call Vote,95,2,
Attorney General,George W. Bush,Republican,Michael Mukasey,2007-09-17,2007-09-21,,2007-11-08,,Roll Call Vote,53,40,
Secretary of Veterans Affairs,George W. Bush,Republican,James Peake,2007-10-30,2007-11-15,,2007-12-14,,Voice Vote,,,
